127.0.0.1 - - [21/Dec/2018:19:47:17 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:25 +0800] "GET /HRM/login.jsp HTTP/1.1" 200 1084
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:37 +0800] "GET /HRM/struts/CommonFunctions.js HTTP/1.1" 200 2541
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:37 +0800] "GET /HRM/struts/simple/dojoRequire.js HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:37 +0800] "GET /HRM/struts/xhtml/styles.css HTTP/1.1" 200 1162
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:37 +0800] "GET /HRM/struts/ajax/dojoRequire.js HTTP/1.1" 200 1435
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:37 +0800] "GET /HRM/struts/dojo/dojo.js HTTP/1.1" 200 264920
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:37 +0800] "POST /HRM/login.action;jsessionid=27D1B296212E384E7AEB4B1C610D4678 HTTP/1.1" 200 2483
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:37 +0800] "GET /HRM/struts/dojo/src/debug.js HTTP/1.1" 200 2974
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:37 +0800] "GET /HRM/struts/dojo/src/browser_debug.js HTTP/1.1" 200 4874
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:37 +0800] "GET /HRM/struts/dojo/struts/widget/Bind.js HTTP/1.1" 200 9039
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/struts/widget/BindDiv.js HTTP/1.1" 200 12647
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/src/widget/ContentPane.js HTTP/1.1" 200 23156
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/src/lang/timing/Timer.js HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/struts/widget/BindAnchor.js HTTP/1.1" 200 1289
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/struts/widget/ComboBox.js HTTP/1.1" 200 14700
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/src/widget/ComboBox.js HTTP/1.1" 200 25738
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/src/widget/html/stabile.js HTTP/1.1" 200 5832
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/src/widget/PopupContainer.js HTTP/1.1" 200 13560
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/struts/widget/StrutsTimePicker.js HTTP/1.1" 200 1839
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/src/widget/DropdownTimePicker.js HTTP/1.1" 200 4129
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/src/widget/DropdownContainer.js HTTP/1.1" 200 2972
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/src/widget/TimePicker.js HTTP/1.1" 200 10423
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/src/date/serialize.js HTTP/1.1" 200 5600
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/src/date/format.js HTTP/1.1" 200 29236
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/src/date/common.js HTTP/1.1" 200 14546
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/src/date/supplemental.js HTTP/1.1" 200 2758
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/src/i18n/common.js HTTP/1.1" 200 2328
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/src/i18n/calendar/nls/gregorian.js HTTP/1.1" 200 1342
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/src/i18n/calendar/nls/zh/gregorian.js HTTP/1.1" 200 1105
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/src/i18n/calendar/nls/zh-cn/gregorian.js HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/src/i18n/calendar/nls/gregorianExtras.js HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/src/i18n/calendar/nls/zh/gregorianExtras.js HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/src/i18n/calendar/nls/zh-cn/gregorianExtras.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/src/widget/nls/TimePicker.js HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/src/widget/nls/zh/TimePicker.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/src/widget/nls/zh-cn/TimePicker.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/src/widget/nls/DropdownTimePicker.js HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/src/widget/nls/zh/DropdownTimePicker.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/src/widget/nls/zh-cn/DropdownTimePicker.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/src/widget/Editor2.js HTTP/1.1" 200 21062
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/src/widget/RichText.js HTTP/1.1" 200 57499
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/src/widget/Editor2Toolbar.js HTTP/1.1" 200 19079
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/src/lang/__package__.js HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/src/lang/assert.js HTTP/1.1" 200 4519
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/src/lang/type.js HTTP/1.1" 200 8485
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:47:38 +0800] "GET /HRM/struts/dojo/src/lang/repr.js HTTP/1.1" 200 2727
